County,TOT_POP,WA_TOT,BA_TOT,AA_TOT,NH_TOT,H_TOT,WA_pct,BA_pct,AA_pct,NH_pct,H_pct
Emanuel,22646,14224,7865,169,21605,1041,0.6281020930848715,0.34730195177956374,0.007462686567164179,0.954031617062616,0.04596838293738408
Evans,10654,6957,3316,127,9399,1255,0.65299418058945,0.31124460296602213,0.011920405481509293,0.8822038670921719,0.11779613290782805
Fannin,26188,25317,234,170,25503,685,0.9667404918283183,0.008935390255078663,0.0064915228348862075,0.9738429815182527,0.026157018481747365
Fayette,114421,76288,28899,5853,105858,8563,0.6667307574658498,0.2525672734900062,0.0511531974025747,0.9251623390811128,0.07483766091888727
Floyd,98498,79162,14727,1572,87082,11416,0.803691445511584,0.14951572620763873,0.0159597149180694,0.8840991695262848,0.1159008304737152
Forsyth,244252,189577,10661,37977,220646,23606,0.776153317065981,0.0436475443394527,0.15548286196223574,0.9033539131716424,0.0966460868283576
Franklin,23349,20257,2217,327,22225,1124,0.8675746284637458,0.09495053321341385,0.014004882436078633,0.9518608934001456,0.04813910659985438
Fulton,1063937,483838,473020,80896,987164,76773,0.4547618890968168,0.4445939938173031,0.07603457723530622,0.9278406522190694,0.07215934778093064
Gilmer,31369,29956,431,227,27661,3708,0.9549555293442571,0.01373967930122095,0.007236443622684816,0.8817941279607255,0.11820587203927445
Glascock,2971,2648,254,3,2916,55,0.8912823964994951,0.0854930999663413,0.0010097610232245036,0.9814877145742175,0.018512285425782565
Glynn,85292,58992,22694,1365,79462,5830,0.6916475167659335,0.2660741921868405,0.01600384561271866,0.9316465788116118,0.06835342118838812
Gordon,57963,53049,2551,834,48394,9569,0.9152217794110036,0.04401083449786933,0.014388489208633094,0.8349119265738488,0.16508807342615117
Grady,24633,16370,7330,168,21663,2970,0.6645556773434012,0.2975683026833922,0.0068201193520886615,0.8794300328827183,0.1205699671172817
Greene,18324,11585,6021,218,17145,1179,0.6322309539401877,0.3285854616895874,0.011896965728006985,0.9356581532416502,0.06434184675834971
