State,Age_Bracket,Age_Lower,Age_Upper,Race,Deaths,Bracket_Median_Age,Bracket_Mean_Age,Life Expectancy,YLL (based on age bracket median),YLL (based on age bracket weighted mean),YLL (based on upper age in bracket)
California,0_17,0.0,17.0,Black,1.0,8.5,8.58,76.167036179,67.667036179,67.587036179,59.16703617899999
California,18_34,18.0,34.0,Black,65.0,26.0,26.03,76.167036179,3260.8573516349998,3258.9073516349995,2740.8573516349998
California,35_49,35.0,49.0,Black,160.0,42.0,41.8,76.167036179,5466.725788639998,5498.725788639999,4346.725788639998
California,50_64,50.0,64.0,Black,655.0,57.0,56.12,76.167036179,12554.408697244995,13130.808697244996,7969.408697244995
California,65_79,65.0,79.0,Black,1198.0,72.0,71.55,76.167036179,4992.109342441991,5531.209342441995,0.0
California,80+,80.0,,Black,1143.0,80.0,85.19,76.167036179,0.0,0.0,
Illinois,0_19,0.0,19.0,Black,7.0,9.5,9.59,73.746091604,449.722641228,449.092641228,383.222641228
Illinois,20_29,20.0,29.0,Black,26.0,24.5,24.46,73.746091604,1280.398381704,1281.438381704,1163.398381704
Illinois,30_39,30.0,39.0,Black,73.0,34.5,34.69,73.746091604,2864.964687092,2851.094687092,2536.464687092
Illinois,40_49,40.0,49.0,Black,157.0,44.5,44.3,73.746091604,4591.636381828,4623.036381828,3885.136381828
Illinois,50_59,50.0,59.0,Black,358.0,54.5,54.09,73.746091604,6890.100794232,7036.880794231999,5279.100794232
Illinois,60_69,60.0,69.0,Black,850.0,64.5,64.3,73.746091604,7859.1778634,8029.177863400002,4034.1778634
Illinois,70_79,70.0,79.0,Black,978.0,74.5,74.23,73.746091604,0.0,0.0,0.0
Illinois,80+,80.0,,Black,1197.0,80.0,85.19,73.746091604,0.0,0.0,
Michigan,0_9,0.0,9.0,Black,0.0,4.5,4.58,73.641703571,0.0,0.0,0.0
Michigan,10_19,10.0,19.0,Black,0.0,14.5,14.84,73.641703571,0.0,0.0,0.0
Michigan,20_29,20.0,29.0,Black,28.0,24.5,24.46,73.641703571,1375.9676999879998,1377.0876999879997,1249.9676999879998
Michigan,30_39,30.0,39.0,Black,48.0,34.5,34.69,73.641703571,1878.8017714079997,1869.6817714079998,1662.8017714079997
Michigan,40_49,40.0,49.0,Black,168.0,44.5,44.3,73.641703571,4895.806199927999,4929.406199927999,4139.806199927999
Michigan,50_59,50.0,59.0,Black,424.0,54.5,54.09,73.641703571,8116.082314103997,8289.922314103997,6208.082314103997
Michigan,60_69,60.0,69.0,Black,829.0,64.5,64.3,73.641703571,7578.472260358994,7744.272260358997,3847.972260358995
Michigan,70_79,70.0,79.0,Black,1049.0,74.5,74.23,73.641703571,0.0,0.0,0.0
Michigan,80+,80.0,,Black,1058.0,80.0,85.19,73.641703571,0.0,0.0,
New Mexico,18_44,18.0,44.0,Black,1.0,31.0,31.6,75.882398783,44.882398783,44.282398783,31.882398783
New Mexico,45_64,45.0,64.0,Black,12.0,54.5,53.14,75.882398783,256.588785396,272.908785396,142.588785396
New Mexico,65_74,65.0,74.0,Black,15.0,69.5,69.34,75.882398783,95.73598174499999,98.13598174499994,28.23598174499999
New Mexico,75+,75.0,,Black,19.0,75.0,81.49,75.882398783,16.765576876999987,0.0,
South Dakota,0_9,0.0,9.0,Black,0.0,4.5,4.58,87.044584622,0.0,0.0,0.0
South Dakota,10_19,10.0,19.0,Black,0.0,14.5,14.84,87.044584622,0.0,0.0,0.0
South Dakota,20_29,20.0,29.0,Black,0.0,24.5,24.46,87.044584622,0.0,0.0,0.0
South Dakota,30_39,30.0,39.0,Black,0.0,34.5,34.69,87.044584622,0.0,0.0,0.0
South Dakota,40_49,40.0,49.0,Black,2.0,44.5,44.3,87.044584622,85.089169244,85.48916924400001,76.089169244
South Dakota,50_59,50.0,59.0,Black,1.0,54.5,54.09,87.044584622,32.544584622,32.954584622,28.044584622000002
South Dakota,60_69,60.0,69.0,Black,2.0,64.5,64.3,87.044584622,45.089169244000004,45.48916924400001,36.089169244000004
South Dakota,70_79,70.0,79.0,Black,2.0,74.5,74.23,87.044584622,25.089169244000004,25.629169243999996,16.089169244000004
South Dakota,80+,80.0,,Black,0.0,80.0,85.19,87.044584622,0.0,0.0,
California,0_17,0.0,17.0,Hispanic,6.0,8.5,8.58,83.805031533,451.830189198,451.35018919800007,400.830189198
California,18_34,18.0,34.0,Hispanic,497.0,26.0,26.03,83.805031533,28729.100671901004,28714.190671901,24753.100671901004
California,35_49,35.0,49.0,Hispanic,2012.0,42.0,41.8,83.805031533,84111.723444396,84514.12344439601,70027.723444396
California,50_64,50.0,64.0,Hispanic,6478.0,57.0,56.12,83.805031533,173642.99427077404,179343.63427077406,128296.99427077403
California,65_79,65.0,79.0,Hispanic,8684.0,72.0,71.55,83.805031533,102514.89383257204,106422.69383257207,41726.89383257204
California,80+,80.0,,Hispanic,6299.0,80.0,85.19,83.805031533,23967.89362636703,0.0,
Illinois,0_19,0.0,19.0,Hispanic,0.0,9.5,9.59,86.150090468,0.0,0.0,0.0
Illinois,20_29,20.0,29.0,Hispanic,28.0,24.5,24.46,86.150090468,1726.202533104,1727.322533104,1600.202533104
Illinois,30_39,30.0,39.0,Hispanic,108.0,34.5,34.69,86.150090468,5578.209770544,5557.689770544001,5092.209770544
Illinois,40_49,40.0,49.0,Hispanic,263.0,44.5,44.3,86.150090468,10953.973793084,11006.573793084,9770.473793084
